Indeks;Kode
JII70;ACES
JII70;ADMR
JII70;ADRO
JII70;AKRA
JII70;AMMN
JII70;ANTM
JII70;ASII
JII70;AVIA
JII70;BRIS
JII70;BRMS
JII70;BRPT
JII70;BSDE
JII70;CMRY
JII70;CPIN
JII70;CTRA
JII70;DSNG
JII70;ELSA
JII70;EMTK
JII70;ENRG
JII70;ERAA
JII70;ESSA
JII70;EXCL
JII70;FILM
JII70;HEAL
JII70;HRUM
JII70;ICBP
JII70;INCO
JII70;INDF
JII70;INDY
JII70;INKP
JII70;INTP
JII70;ISAT
JII70;ITMG
JII70;JPFA
JII70;JSMR
JII70;KIJA
JII70;KLBF
JII70;KPIG
JII70;LSIP
JII70;MAPA
JII70;MAPI
JII70;MARK
JII70;MBMA
JII70;MDKA
JII70;MEDC
JII70;MIKA
JII70;MNCN
JII70;MTEL
JII70;MYOR
JII70;NCKL
JII70;PANI
JII70;PGAS
JII70;PGEO
JII70;PTBA
JII70;PTPP
JII70;PTRO
JII70;PWON
JII70;RAJA
JII70;SIDO
JII70;SMGR
JII70;SMRA
JII70;SRTG
JII70;SSIA
JII70;TAPG
JII70;TINS
JII70;TKIM
JII70;TLKM
JII70;TPIA
JII70;UNTR
JII70;UNVR
JII;ADRO
JII;AKRA
JII;AMMN
JII;ANTM
JII;ASII
JII;BRIS
JII;BRMS
JII;BRPT
JII;CPIN
JII;EXCL
JII;ICBP
JII;INCO
JII;INDF
JII;INKP
JII;ISAT
JII;KLBF
JII;MAPI
JII;MBMA
JII;MDKA
JII;MEDC
JII;PANI
JII;PGAS
JII;PGEO
JII;PTBA
JII;PTRO
JII;SMGR
JII;TLKM
JII;TPIA
JII;UNTR
JII;UNVR
ISSI;AADI
ISSI;AALI
ISSI;ABMM
ISSI;ACES
ISSI;ACRO
ISSI;ACST
ISSI;ADCP
ISSI;ADES
ISSI;ADHI
ISSI;ADMG
ISSI;ADMR
ISSI;ADRO
ISSI;AGAR
ISSI;AGII
ISSI;AIMS
ISSI;AISA
ISSI;AKPI
ISSI;AKRA
ISSI;AKSI
ISSI;ALDO
ISSI;ALKA
ISSI;AMAN
ISSI;AMFG
ISSI;AMIN
ISSI;AMMN
ISSI;ANDI
ISSI;ANJT
ISSI;ANTM
ISSI;APII
ISSI;APLI
ISSI;APLN
ISSI;ARCI
ISSI;AREA
ISSI;ARII
ISSI;ARNA
ISSI;ARTA
ISSI;ASGR
ISSI;ASHA
ISSI;ASII
ISSI;ASLC
ISSI;ASPI
ISSI;ASRI
ISSI;ATAP
ISSI;ATIC
ISSI;ATLA
ISSI;AUTO
ISSI;AVIA
ISSI;AWAN
ISSI;AXIO
ISSI;AYAM
ISSI;AYLS
ISSI;BABY
ISSI;BAIK
ISSI;BANK
ISSI;BAPA
ISSI;BAPI
ISSI;BATR
ISSI;BAUT
ISSI;BAYU
ISSI;BBRM
ISSI;BBSS
ISSI;BCIP
ISSI;BDKR
ISSI;BEEF
ISSI;BELI
ISSI;BELL
ISSI;BESS
ISSI;BEST
ISSI;BIKE
ISSI;BINO
ISSI;BIPP
ISSI;BIRD
ISSI;BISI
ISSI;BKDP
ISSI;BKSL
ISSI;BLES
ISSI;BLOG
ISSI;BLTA
ISSI;BLTZ
ISSI;BLUE
ISSI;BMHS
ISSI;BMSR
ISSI;BMTR
ISSI;BNBR
ISSI;BOAT
ISSI;BOBA
ISSI;BOGA
ISSI;BOLA
ISSI;BOLT
ISSI;BRAM
ISSI;BRIS
ISSI;BRMS
ISSI;BRNA
ISSI;BRPT
ISSI;BRRC
ISSI;BSBK
ISSI;BSDE
ISSI;BSML
ISSI;BSSR
ISSI;BTON
ISSI;BTPS
ISSI;BUAH
ISSI;BUDI
ISSI;BUKK
ISSI;BUMI
ISSI;BUVA
ISSI;BYAN
ISSI;CAKK
ISSI;CAMP
ISSI;CANI
ISSI;CARE
ISSI;CASS
ISSI;CBDK
ISSI;CBPE
ISSI;CBRE
ISSI;CCSI
ISSI;CEKA
ISSI;CGAS
ISSI;CHEK
ISSI;CHEM
ISSI;CINT
ISSI;CITA
ISSI;CITY
ISSI;CLEO
ISSI;CLPI
ISSI;CMNP
ISSI;CMPP
ISSI;CMRY
ISSI;CNMA
ISSI;COAL
ISSI;CPIN
ISSI;CPRO
ISSI;CRAB
ISSI;CRSN
ISSI;CSAP
ISSI;CSIS
ISSI;CSMI
ISSI;CSRA
ISSI;CTBN
ISSI;CTRA
ISSI;CUAN
ISSI;CYBR
ISSI;DAAZ
ISSI;DATA
